Precinct,Paul Fitts,Charles Francis,Nancy McFarlane,Write-in
0010 01-01,34,209,365,1
0020 01-02,39,135,398,0
0030 01-03,96,147,453,2
0040 01-04,41,72,253,3
0050 01-05,67,84,274,0
0060 01-06,49,137,528,0
0070 01-07,33,159,404,1
0080 01-07,9,46,25,0
0090 01-09,21,106,367,0
0100 01-10,56,105,428,0
0110 01-11,113,170,502,3
0120 01-12,52,116,287,1
0130 01-13,33,152,416,3
0140 01-14,59,346,912,4
0150 01-15,98,97,319,0
0160 01-16,98,208,490,0
0170 01-17,50,62,173,1
0180 01-18,146,187,318,1
0190 01-19,4,307,50,1
0200 01-20,14,433,220,0
0210 01-21,56,245,305,1
0220 01-22,5,631,73,0
0230 01-23,22,143,301,0
0240 01-25,2,61,27,0
0250 01-26,5,277,162,1
0260 01-27,21,130,426,1
0270 01-28,52,480,459,0
0280 01-29,126,238,444,2
0290 01-30,83,71,246,1
0300 01-31,32,196,212,0
0310 01-32,56,139,197,0
0320 01-33,58,132,358,0
0330 01-34,7,224,78,0
0340 01-35,5,392,45,0
0350 01-36,110,124,327,0
0360 01-37,103,129,334,0
0370 01-38,95,189,286,0
0380 01-39,105,150,247,0
0390 01-40,12,623,87,0
0400 01-41,60,131,305,0
0410 01-42,235,131,367,1
0420 01-43,70,101,213,0
0430 01-44,127,235,348,0
0440 01-45,91,95,220,2
0450 01-46,37,213,111,0
0460 01-47,194,88,292,1
0470 01-48,66,179,398,1
0480 01-49,38,114,119,0
0490 01-50,8,538,39,0
0500 01-51,92,53,152,0
0510 02-01,43,27,80,0
0540 02-04,10,7,25,0
0560 02-06,88,36,122,0
0620 04-05,13,18,41,0
0810 05-05,153,266,271,1
0920 07-01,89,93,211,0
0930 07-02,77,99,168,1
0940 07-03,77,96,281,0
0950 07-04,151,219,513,2
0960 07-05,104,113,183,0
0970 07-06,230,134,606,1
0980 07-07,194,165,472,2
0990 07-07,30,26,224,1
1000 07-09,120,145,344,1
1010 07-10,94,175,271,0
1020 07-11,96,68,229,0
1030 07-12,90,107,341,0
1040 07-13,92,139,284,1
1050 08-02,115,139,307,1
1060 08-03,161,198,237,1
1080 08-05,24,40,80,1
1090 08-06,31,89,133,0
1100 08-07,4,11,4,0
1110 08-08,121,110,171,0
1120 08-09,83,97,208,0
1130 08-10,76,111,156,0
1140 08-11,127,155,258,2
1220 11-01,101,165,366,1
1230 11-02,177,200,590,1
1320 13-01,46,310,111,1
1330 13-02,124,103,182,1
1340 13-05,37,89,69,0
1350 13-06,140,147,276,0
1360 13-07,43,171,119,0
1370 13-08,26,181,72,0
1380 13-09,66,371,164,1
1390 13-10,252,291,568,0
1400 13-11,202,185,303,1
1480 16-02,8,217,30,0
1550 16-10,11,518,54,0
1560 16-11,8,237,35,0
1570 17-01,67,207,116,1
1590 17-03,125,502,274,0
1600 17-04,16,60,29,0
1610 17-05,110,319,206,0
1630 17-07,15,438,87,0
1650 17-09,17,495,59,0
1660 17-10,58,101,62,1
1670 17-11,64,367,178,1
1680 18-01,57,194,263,0
1710 18-04,0,0,0,0
1730 18-06,42,135,202,0
1770 19-04,39,76,84,0
1830 19-13,56,67,89,0
1840 19-14,93,114,109,0
1850 19-15,70,58,77,0
1860 19-16,33,84,34,0
1870 19-17,113,416,198,1
