Precinct,Muni,Ward,School,USCong,SupCt,DistrCt,Senate,House,CCom,VTD
01-01,RAL,R-D,6,02,10A,10D,14,049,4,01-01
01-02,RAL,R-D,6,02,10A,10D,16,049,4,01-02
01-03,RAL,R-D,6,02,10D,10D,15,049,4,01-03
01-04,RAL,R-E,6,02,10D,10C,15,049,7,01-04
01-05,RAL,R-D,6,02,10D,10D,15,049,5,01-05
01-06,RAL,R-D,6,02,10A,10D,15,049,5,01-06
01-07,RAL,R-D,6,02,10A,10D,14,049,5,01-07
01-07A,RAL,R-D,6,02,10A,10D,14,049,5,01-07
01-09,RAL,R-E,6,02,10D,10C,14,049,5,01-09
01-10,RAL,R-E,6,02,10D,10C,15,034,5,01-10
01-11,RAL,R-E,6,02,10D,10D,15,034,7,01-11
01-12,RAL,R-E,6,02,10B,10C,15,034,5,01-12
01-13,RAL,R-C,4,02,10B,10C,14,038,5,01-13
01-14,RAL,R-C,5,02,10A,10C,14,038,5,01-14
01-15,RAL,R-A,6,02,10D,10C,15,034,6,01-15
01-16,RAL,R-E,6,02,10A,10D,16,049,7,01-16
01-17,RAL,R-A,6,02,10D,10C,15,034,7,01-17
01-18,RAL,R-A,6,02,10B,10C,15,034,6,01-18
01-19,RAL,R-C,4,02,10B,10E,14,038,5,01-19
01-20,RAL,R-C,4,02,10B,10E,14,038,5,01-20
01-20,RAL,R-C,5,02,10B,10E,14,038,5,01-20
01-21,RAL,R-D,5,02,10B,10E,14,033,5,01-21
01-21,UNC,,5,02,10B,10E,14,033,5,01-21
01-22,GAR,,4,02,10B,10E,14,033,5,01-22
01-22,RAL,R-C,4,02,10B,10E,14,033,5,01-22
01-22,UNC,,4,02,10B,10E,14,033,5,01-22
01-23,RAL,R-D,5,02,10A,10E,14,011,4,01-23
01-25,RAL,R-C,5,02,10B,10E,14,033,5,01-25
01-26,RAL,R-C,4,02,10B,10E,14,033,5,01-26
01-27,RAL,R-D,5,02,10B,10E,14,033,4,01-27
01-28,RAL,R-C,4,02,10E,10C,14,038,5,01-28
01-29,RAL,R-E,6,02,10A,10D,16,049,7,01-29
01-30,RAL,R-A,6,02,10D,10C,15,034,7,01-30
01-31,RAL,R-D,5,02,10A,10E,14,011,4,01-31
01-32,RAL,R-D,5,02,10A,10E,16,011,4,01-32
01-33,RAL,R-E,6,02,10A,10D,16,049,7,01-33
01-34,RAL,R-C,4,02,10B,10C,14,038,5,01-34
01-35,RAL,R-C,4,02,10B,10E,14,033,5,01-35
01-36,RAL,R-E,6,02,10D,10C,15,034,7,01-36
01-37,RAL,R-A,6,02,10D,10C,15,034,6,01-37
01-38,RAL,R-B,6,02,10B,10C,15,038,6,01-38
01-39,RAL,R-A,6,02,10D,10C,15,034,7,01-39
01-40,RAL,R-C,4,02,10B,10E,14,038,5,01-40
01-40,UNC,,4,02,10B,10E,14,038,5,01-40
01-41,RAL,R-D,5,02,10A,10E,14,011,4,01-41
01-42,RAL,R-A,3,02,10E,10A,15,034,6,01-42
01-42,UNC,,3,02,10E,10A,15,034,6,01-42
01-43,RAL,R-A,3,02,10D,10C,15,034,6,01-43
01-44,RAL,R-A,3,02,10E,10C,15,034,6,01-44
01-45,RAL,R-A,3,02,10D,10C,15,034,6,01-45
01-46,RAL,R-B,6,02,10B,10C,15,038,6,01-46
01-46,UNC,,6,02,10B,10C,15,038,6,01-46
01-47,RAL,R-A,3,02,10E,10A,15,034,6,01-47
01-48,RAL,R-D,5,02,10A,10E,14,011,4,01-48
01-49,RAL,R-D,5,02,10A,10D,16,011,4,01-49
01-49,UNC,,5,02,10A,10D,16,011,4,01-49
01-50,GAR,,4,02,10B,10E,14,033,5,01-50
01-50,RAL,R-C,4,02,10B,10E,14,033,5,01-50
01-50,UNC,,4,02,10B,10E,14,033,5,01-50
01-51,RAL,R-A,6,02,10D,10C,15,034,6,01-51
02-01,RAL,R-A,3,04,10C,10A,15,034,6,02-01
02-01,UNC,,3,04,10C,10A,15,034,6,02-01
02-02,UNC,,3,04,10C,10A,15,040,6,02-02
02-03,UNC,,3,04,10C,10A,15,040,6,02-03
02-04,RAL,R-A,3,04,10C,10A,15,040,6,02-04
02-04,UNC,,3,04,10C,10A,15,040,6,02-04
02-05,UNC,,3,04,10C,10A,15,034,6,02-05
02-06,RAL,R-A,3,04,10C,10A,15,034,6,02-06
02-06,UNC,,3,04,10C,10A,15,034,6,02-06
03-00,APE,,8,02,10F,10F,17,037,2,03-00
03-00,APE,,8,02,10F,10F,17,041,2,03-00
